source,content
SABAH,"

Bakan Yerlikaya sosyal medya hesabından yaptığı açıklamada, son 3 gün içinde 81 İlde eş zamanlı olarak ""Aranan Şahıslara Yönelik"" gerçekleştirilen ""Çember-9 Operasyonlarında"" arama kaydı bulunan 2 bin 842 firarinin yakalandı belirterek şu bilgileri verdi:

""Aziz Milletimizin bilmesini isterim ki, firari suçluların sokaklarımızda gezmelerine asla izin vermeyeceğiz. Ailelerimizin huzurunu kaçırmalarına müsaade etmedik, etmeyeceğiz.

Yakalanan şahısların kaç yıldır arandığı: 0-5 yıldır aranmakta olan 2.820 şahıs, 5-10 yıldır aranmakta olan 14 şahıs, 10 yıl ve üzeri aranmakta olan 8 şahıs yakalandı. Yakalanan şahısların hangi suçlardan arandığı: Hırsızlıktan 199 şahıs, Dolandırıcılıktan 132 şahıs, Yağmadan 65 şahıs, Adam Öldürmeden 38 şahıs, Cinsel Suçlardan 35 şahıs Narkotik suçlarından 480 şahıs, Terörden 43 şahıs, KOM (Kaçakçılık, Organize) 334 şahıs
başta olmak üzere diğer suçlardan yakalananlarla birlikte toplam 2.842 şahıs ""Çember-9"" Operasyonlarında yakalandı.

3 günde ""Çember-9 Operasyonlarında"" arama kaydı bulunan 2 bin 842 firari yakalandı | Video



İl jandarma Komutanlıkları, İl Emniyet Müdürlükleri ve Sahil Güvenlik Komutanlığımızca 81 il genelinde eş zamanlı olarak son 3 gün içerisinde gerçekleştirilen ""Çember-9"" operasyonlarında yakalama kararı çıkartılan 2 bin 842 kişi; yol aramalarında, ev ve iş yerlerinde, kimlik kontrollerinde yakalanıp adalete teslim edildi.

Operasyonları yöneten Valilerimizi, Kaymakamlarımızı, İl Jandarma Komutanlarımızı, İl Emniyet Müdürlerimizi, Sahil Güvenliğimizi ve operasyonlara katılan Polislerimizi, Jandarmalarımızı tebrik ediyorum. Allah ayağınıza taş değdirmesin

Arananları yakalayıp adalete teslim etmeye kararlıyız.

 


"
SABAH,"

Milli Savunma Bakanı Yaşar Güler, yıllık basın değerlendirme toplantısında konuştu.
Bakan Güler'in açıklamalarından öne çıkan başlıklar:
Halkımızın doğru bilgiye ulaşması ve sağlıklı bir kamuoyunun oluşmasında gerçeğin temsilcisi olarak büyük sorumluluklar üstlenen sizleri Bakanlığımızda ağırlamaktan büyük memnuniyet duyuyor; sevgi ve saygıyla selamlıyorum. Millî Savunma Bakanlığı olarak ülkemizin huzur ve güvenliği için üstlenmiş olduğumuz görevleri başarıyla yerine getirdiğimiz yoğun bir yılı geride bırakırken artan bir şevk ve gayretle de yeni yıla hazırlanıyoruz.
Sözlerimin başında ifade etmem gerekirse ortak ve millî meselemiz olan savunma ve güvenliğimize yönelik faaliyetlerimizin takibi, tezlerimizin iyi anlaşılması, bilinmesi; iç ve dış kamuoyuna doğru anlatılması ve dezenformasyona karşı mücadele edilmesi büyük önem taşıyor.

"
SABAH,"

Başkan Erdoğan, Bolu'nun Yeniçağa ilçesinde trafik kazası sonrası tedavi gördüğü hastanede şehit olan Elmas'ın ailesine başsağlığı mesajı gönderdi.
 

 


"
SABAH,"

İYİ Parti Genel Başkanı Meral Akşener, 8 Aralık'ta geldiği Trabzon'da katıldığı 'Teşkilat Buluşması'nda partisinin büyükşehir belediyesi ve kesinleşen ilçelerin belediye başkan adaylarını açıkladı. Akşener'in Ortahisar İlçe Belediye Başkanlığı için aday olarak duyurmasıyla seçim çalışmalarına başlayan Ayhan Pala, sosyal medya hesabından 'İş birliği şart' yazılı paylaşımda bulundu. Pala'nın paylaşımı, CHP ile ittifak çağrısı olarak algılanması, partide tepkilere yol açtı.

"
SABAH,"

MHP Genel Başkanı Devlet Bahçeli, ""AK Parti'yle yapılan görüşmelerimizde, üç belediye fazla, beş belediye az almak maksadından ziyade Türk ve Türkiye Yüzyılı'nın tecellisine odaklandığımızı, ülkemiz ve geleceğimiz adına her türlü özveriyi karşılık beklemeksizin gösterdiğimizi samimiyetle paylaşmak istiyorum."" dedi.
Bahçeli, parti genel merkezinde düzenlenen İl Başkanları Toplantısı öncesinde yaptığı konuşmada, il teşkilatlarının MHP'nin omurgası olduğunu söyledi.
""Bizim omurgamız saat gibi çalışmaktadır."" diyen Bahçeli, ""Allah'a çok şükür teşkilatlarımız çelik gibidir, birlik, beraberlik ve ülküdaşlık hukukuyla perçinlidir."" ifadelerini kullandı.

"
SABAH,"

SAADET-GELECEK İTTİFAKI'NIN MECLİS'TEKİ GRUBU DÜŞMÜŞTÜ

CHP Kütahya Milletvekili Ali Fazıl Kasap, Saadet Partisi'ne geçti. Saadet Partili Milletvekili Hasan Bitmez'in vefatının ardından Saadet-Gelecek ittifakı'nın Meclis'teki grubu düşmüştü.
CHP'Lİ VEKİL SAADET PARTİSİ'NE GEÇTİ
CHP Milletvekili Ali Fazıl Kasap Saadet Partisi'ne geçti. Dilekçe TBMM Genel Sekreterliği'ne verildi. Saadet Partisi'nin vekil sayısı yeniden 20 oldu

"
SABAH,"

Saadet Partisi, CHP'den istifa eden Kütahya Milletvekili Ali Fazıl Kasap'ın katılımıyla, TBMM'de yeniden grup oluşturma çoğunluğunu elde etti.
Saadet Partisinin sandalye sayısı, Kocaeli Milletvekili Hasan Bitmez'in vefatıyla 19'a düşmüş ve Meclis'te grup kurmak için gerekli olan en az 20 milletvekiline sahip olma kriterini kaybetmişti.
CHP Kütahya Milletvekili Kasap, bugün partisinden istifa ederek, Saadet Partisine katıldı.
Kasap'ın katılımıyla Saadet Partisinin milletvekili sayısı, grup kurmak için yeter sayı olan 20'ye ulaştı.

 


"
SABAH,"

İçişleri Bakanlığı koordinesinde; Emniyet Genel Müdürlüğü, Jandarma Genel Komutanlığı ve Sahil Güvenlik Komutanlığı, 81 il genelinde eş zamanlı olarak son 3 gün içerisinde gerçekleştirilen ""Çember-9"" operasyonlarında yakalama kararı çıkartılan 2 bin 842 kişi; yol aramalarında, ev ve iş yerlerinde, kimlik kontrollerinde yakalanarak adalete teslim edildi.

"
SABAH,"

Bakan Yerlikaya sosyal medya hesabından yaptığı açıklamada, son 3 gün içinde 81 İlde eş zamanlı olarak ""Aranan Şahıslara Yönelik"" gerçekleştirilen ""Çember-9 Operasyonlarında"" arama kaydı bulunan 2 bin 842 firarinin yakalandı belirterek şu bilgileri verdi:

""Aziz Milletimizin bilmesini isterim ki, firari suçluların sokaklarımızda gezmelerine asla izin vermeyeceğiz. Ailelerimizin huzurunu kaçırmalarına müsaade etmedik, etmeyeceğiz.

Yakalanan şahısların kaç yıldır arandığı: 0-5 yıldır aranmakta olan 2.820 şahıs, 5-10 yıldır aranmakta olan 14 şahıs, 10 yıl ve üzeri aranmakta olan 8 şahıs yakalandı. Yakalanan şahısların hangi suçlardan arandığı: Hırsızlıktan 199 şahıs, Dolandırıcılıktan 132 şahıs, Yağmadan 65 şahıs, Adam Öldürmeden 38 şahıs, Cinsel Suçlardan 35 şahıs Narkotik suçlarından 480 şahıs, Terörden 43 şahıs, KOM (Kaçakçılık, Organize) 334 şahıs
başta olmak üzere diğer suçlardan yakalananlarla birlikte toplam 2.842 şahıs ""Çember-9"" Operasyonlarında yakalandı.

3 günde ""Çember-9 Operasyonlarında"" arama kaydı bulunan 2 bin 842 firari yakalandı | Video



İl jandarma Komutanlıkları, İl Emniyet Müdürlükleri ve Sahil Güvenlik Komutanlığımızca 81 il genelinde eş zamanlı olarak son 3 gün içerisinde gerçekleştirilen ""Çember-9"" operasyonlarında yakalama kararı çıkartılan 2 bin 842 kişi; yol aramalarında, ev ve iş yerlerinde, kimlik kontrollerinde yakalanıp adalete teslim edildi.

Operasyonları yöneten Valilerimizi, Kaymakamlarımızı, İl Jandarma Komutanlarımızı, İl Emniyet Müdürlerimizi, Sahil Güvenliğimizi ve operasyonlara katılan Polislerimizi, Jandarmalarımızı tebrik ediyorum. Allah ayağınıza taş değdirmesin

Arananları yakalayıp adalete teslim etmeye kararlıyız.

 


"
SABAH,"





                            Dışişleri Bakanlığı, Türkiye ile Arnavutluk arasında diplomatik ilişkilerin tesis edilmesinin 100'üncü yılı münasebetiyle yapılan ortak açıklamayı yayınladı. İki ülke arasındaki olumlu ilişkilere işaret edilen açıklamada, ""Türkiye-Arnavutluk ilişkileri, gücünü ortak tarihten. sıkı sosyal ve kültürel bağlardan almaktadır. Bu köklü geçmişe dayanarak ikili ilişkiler 6 Ocak 2021'de Cumhurbaşkanı Sayın Recep Tayyip Erdoğan ve Başbakan Sayın Edi Rama tarafından Yüksek Düzeyli İşbirliği Konseyi Kurulmasına ilişkin ortak bildirinin imzalanmasıyla stratejik ortaklık seviyesine yükseltilmiştir"" denildi.

 


"
SABAH,"





                            Gençlik ve Spor Bakanlığı'nın kurduğu tesislerle depremzedeler hayata yeniden tutunuyor. Depremzedeler için 575 spor tesisi, 112 havuz hizmet veriyor. TBMM İnsan Haklarını İnceleme Komisyonu bünyesinde kurulan Çocuk Hakları Alt Komisyonu, önceki gün Radiye Sezer Katırcıoğlu başkanlığında toplandı. Deprem bölgesindeki çalışmalarla ilgili bakan yardımcıları sunum yaptı. Gençlik ve Spor Bakan Yardımcısı Halis Yunus Ersöz, depremden etkilenen yaklaşık 400 bin kişinin, eylül ayı ortalarına kadar yurtlarda ve gençlik kamplarında kaldığını dile getirdi.



Deprem bölgesindeki 11 ilde 55 gençlik merkezi, 46 genç ofisi, 575 spor tesisi, 112 havuz, 104 spor salonu, 57 tenis kortu bulunduğunu belirten Ersöz, hem yurtlarda misafir edilen hem de bölgede konteyner kentlerde ve diğer alanlarda bulunan depremzedelere yönelik sosyal ve kültürel etkinlikler düzenlendiğini anlattı. Ersöz, ""1 milyon 312 bin 762 çocuk ve genç faaliyetlerden yararlandı"" dedi. Sağlık Bakan Yardımcısı Tolga Tolunay ise, deprem sonrası uzuv kaybı yaşayan 65 çocuğa kol ve bacak protezinin yapıldığını ifade etti.

 


"
SABAH,"

İYİ Parti Genel Başkanı Meral Akşener, 8 Aralık'ta geldiği Trabzon'da katıldığı 'Teşkilat Buluşması'nda partisinin büyükşehir belediyesi ve kesinleşen ilçelerin belediye başkan adaylarını açıkladı. Akşener'in Ortahisar İlçe Belediye Başkanlığı için aday olarak duyurmasıyla seçim çalışmalarına başlayan Ayhan Pala, sosyal medya hesabından 'İş birliği şart' yazılı paylaşımda bulundu. Pala'nın paylaşımı, CHP ile ittifak çağrısı olarak algılanması, partide tepkilere yol açtı.

"
SABAH,"

MHP Genel Başkanı Devlet Bahçeli, ""AK Parti'yle yapılan görüşmelerimizde, üç belediye fazla, beş belediye az almak maksadından ziyade Türk ve Türkiye Yüzyılı'nın tecellisine odaklandığımızı, ülkemiz ve geleceğimiz adına her türlü özveriyi karşılık beklemeksizin gösterdiğimizi samimiyetle paylaşmak istiyorum."" dedi.
Bahçeli, parti genel merkezinde düzenlenen İl Başkanları Toplantısı öncesinde yaptığı konuşmada, il teşkilatlarının MHP'nin omurgası olduğunu söyledi.
""Bizim omurgamız saat gibi çalışmaktadır."" diyen Bahçeli, ""Allah'a çok şükür teşkilatlarımız çelik gibidir, birlik, beraberlik ve ülküdaşlık hukukuyla perçinlidir."" ifadelerini kullandı.

"
SABAH,"

SAADET-GELECEK İTTİFAKI'NIN MECLİS'TEKİ GRUBU DÜŞMÜŞTÜ

CHP Kütahya Milletvekili Ali Fazıl Kasap, Saadet Partisi'ne geçti. Saadet Partili Milletvekili Hasan Bitmez'in vefatının ardından Saadet-Gelecek ittifakı'nın Meclis'teki grubu düşmüştü.
CHP'Lİ VEKİL SAADET PARTİSİ'NE GEÇTİ
CHP Milletvekili Ali Fazıl Kasap Saadet Partisi'ne geçti. Dilekçe TBMM Genel Sekreterliği'ne verildi. Saadet Partisi'nin vekil sayısı yeniden 20 oldu

"
SABAH,"

Saadet Partisi, CHP'den istifa eden Kütahya Milletvekili Ali Fazıl Kasap'ın katılımıyla, TBMM'de yeniden grup oluşturma çoğunluğunu elde etti.
Saadet Partisinin sandalye sayısı, Kocaeli Milletvekili Hasan Bitmez'in vefatıyla 19'a düşmüş ve Meclis'te grup kurmak için gerekli olan en az 20 milletvekiline sahip olma kriterini kaybetmişti.
CHP Kütahya Milletvekili Kasap, bugün partisinden istifa ederek, Saadet Partisine katıldı.
Kasap'ın katılımıyla Saadet Partisinin milletvekili sayısı, grup kurmak için yeter sayı olan 20'ye ulaştı.

 


"
SABAH,"

İçişleri Bakanlığı koordinesinde; Emniyet Genel Müdürlüğü, Jandarma Genel Komutanlığı ve Sahil Güvenlik Komutanlığı, 81 il genelinde eş zamanlı olarak son 3 gün içerisinde gerçekleştirilen ""Çember-9"" operasyonlarında yakalama kararı çıkartılan 2 bin 842 kişi; yol aramalarında, ev ve iş yerlerinde, kimlik kontrollerinde yakalanarak adalete teslim edildi.

"
SABAH,"

Bakan Yerlikaya sosyal medya hesabından yaptığı açıklamada, son 3 gün içinde 81 İlde eş zamanlı olarak ""Aranan Şahıslara Yönelik"" gerçekleştirilen ""Çember-9 Operasyonlarında"" arama kaydı bulunan 2 bin 842 firarinin yakalandı belirterek şu bilgileri verdi:

""Aziz Milletimizin bilmesini isterim ki, firari suçluların sokaklarımızda gezmelerine asla izin vermeyeceğiz. Ailelerimizin huzurunu kaçırmalarına müsaade etmedik, etmeyeceğiz.

Yakalanan şahısların kaç yıldır arandığı: 0-5 yıldır aranmakta olan 2.820 şahıs, 5-10 yıldır aranmakta olan 14 şahıs, 10 yıl ve üzeri aranmakta olan 8 şahıs yakalandı. Yakalanan şahısların hangi suçlardan arandığı: Hırsızlıktan 199 şahıs, Dolandırıcılıktan 132 şahıs, Yağmadan 65 şahıs, Adam Öldürmeden 38 şahıs, Cinsel Suçlardan 35 şahıs Narkotik suçlarından 480 şahıs, Terörden 43 şahıs, KOM (Kaçakçılık, Organize) 334 şahıs
başta olmak üzere diğer suçlardan yakalananlarla birlikte toplam 2.842 şahıs ""Çember-9"" Operasyonlarında yakalandı.

3 günde ""Çember-9 Operasyonlarında"" arama kaydı bulunan 2 bin 842 firari yakalandı | Video



İl jandarma Komutanlıkları, İl Emniyet Müdürlükleri ve Sahil Güvenlik Komutanlığımızca 81 il genelinde eş zamanlı olarak son 3 gün içerisinde gerçekleştirilen ""Çember-9"" operasyonlarında yakalama kararı çıkartılan 2 bin 842 kişi; yol aramalarında, ev ve iş yerlerinde, kimlik kontrollerinde yakalanıp adalete teslim edildi.

Operasyonları yöneten Valilerimizi, Kaymakamlarımızı, İl Jandarma Komutanlarımızı, İl Emniyet Müdürlerimizi, Sahil Güvenliğimizi ve operasyonlara katılan Polislerimizi, Jandarmalarımızı tebrik ediyorum. Allah ayağınıza taş değdirmesin

Arananları yakalayıp adalete teslim etmeye kararlıyız.

 


"
SABAH,"





                            Dışişleri Bakanlığı, Türkiye ile Arnavutluk arasında diplomatik ilişkilerin tesis edilmesinin 100'üncü yılı münasebetiyle yapılan ortak açıklamayı yayınladı. İki ülke arasındaki olumlu ilişkilere işaret edilen açıklamada, ""Türkiye-Arnavutluk ilişkileri, gücünü ortak tarihten. sıkı sosyal ve kültürel bağlardan almaktadır. Bu köklü geçmişe dayanarak ikili ilişkiler 6 Ocak 2021'de Cumhurbaşkanı Sayın Recep Tayyip Erdoğan ve Başbakan Sayın Edi Rama tarafından Yüksek Düzeyli İşbirliği Konseyi Kurulmasına ilişkin ortak bildirinin imzalanmasıyla stratejik ortaklık seviyesine yükseltilmiştir"" denildi.

 


"
SABAH,"





                            Gençlik ve Spor Bakanlığı'nın kurduğu tesislerle depremzedeler hayata yeniden tutunuyor. Depremzedeler için 575 spor tesisi, 112 havuz hizmet veriyor. TBMM İnsan Haklarını İnceleme Komisyonu bünyesinde kurulan Çocuk Hakları Alt Komisyonu, önceki gün Radiye Sezer Katırcıoğlu başkanlığında toplandı. Deprem bölgesindeki çalışmalarla ilgili bakan yardımcıları sunum yaptı. Gençlik ve Spor Bakan Yardımcısı Halis Yunus Ersöz, depremden etkilenen yaklaşık 400 bin kişinin, eylül ayı ortalarına kadar yurtlarda ve gençlik kamplarında kaldığını dile getirdi.



Deprem bölgesindeki 11 ilde 55 gençlik merkezi, 46 genç ofisi, 575 spor tesisi, 112 havuz, 104 spor salonu, 57 tenis kortu bulunduğunu belirten Ersöz, hem yurtlarda misafir edilen hem de bölgede konteyner kentlerde ve diğer alanlarda bulunan depremzedelere yönelik sosyal ve kültürel etkinlikler düzenlendiğini anlattı. Ersöz, ""1 milyon 312 bin 762 çocuk ve genç faaliyetlerden yararlandı"" dedi. Sağlık Bakan Yardımcısı Tolga Tolunay ise, deprem sonrası uzuv kaybı yaşayan 65 çocuğa kol ve bacak protezinin yapıldığını ifade etti.

 


"
